HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis,car_avail,bike_avail,choice,total_trip_time,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
210681CR8,210681,712,103.8552976,1.313953431,HDB 4-room,167.7682364,3195,195,3738.82994748,65144.4043321,94.93,1153526.07333333,12151.3333333333,210681CR8_4,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,Information and Communications,$2000-$2499,14.0625,658064.0,712,13.2461,0.0,1.0,2,0.9833333333333333,13246.1,7.039356,0.2943577777777778,0.9833333333333333,1.60636783479,1.4074052406034185,0.0,2.990090293453725,0.0,1666.6666666666667,2500.0,0.02,0.0,2238.3333333333335
210681CR9,210681,713,103.8552976,1.313953431,HDB 4-room,167.7682364,3195,195,3738.82994748,65144.4043321,94.93,1153526.07333333,12151.3333333333,210681CR9_1,Malay,5,35-54 yrs,Singapore Citizen,Male,Self-employed,Service & sales worker,"Community, Social and Personal Services (e.g. public adminis",$4000-$4999,28.125,218227.0,713,1.663,1.0,0.0,1,0.4166666666666667,1663.0,0.8837657142857144,0.4166666666666667,0.3032076111111111,0.968244431,0.1766946433383022,0.0,0.3753950338600452,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
210682AO,210682,714,103.8556457,1.314277956,HDB 5-room,220.0283445,3232,184,3731.01155681,65144.4043321,117.53,1709082.08333333,14541.6666666667,210682AO_2,Indian,2,55-74 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,"Accomodation and Food Services (e.g. hotels, restaurants etc",$1001-$1499,7.8125,217964.0,714,1.6155,0.0,0.0,4,0.0,1615.5,0.8585228571428571,0.0359,0.3007033055555555,0.96507515975,0.17164774282202477,0.0,0.3646726862302483,0.0,0.0,1666.6666666666667,0.0,0.0,1250.0
210682BR2,210682,715,103.8556457,1.314277956,HDB 4-room,220.0283445,3232,184,3731.01155681,65144.4043321,94.93,1380440.41666667,14541.6666666667,210682BR2_3,Chinese,3,35-54 yrs,Singapore Citizen,Female,Self-employed,Self Employed / Businessman,"Community, Social and Personal Services (e.g. public adminis",$3000-$3999,21.875,210681.0,715,0.9023,0.0,0.0,4,0.0,902.3,0.47950800000000005,0.02005111111111111,0.26310181666666665,0.91694685471,0.09586985970183408,0.0,0.20367945823927766,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,3442.5
211672CR8,211672,716,103.8527007,1.308425856,HDB 5-room,429.5520111,2588,298,4116.48979371,69082.8180041,117.53,1944651.38,16546.0,211672CR8_2,Chinese,3,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,"Administrative and Support Services (e.g. security, cleaning",Refused,28.125,819643.0,716,19.7348,0.0,0.0,2,,19734.8,10.48763657142857,0.4385511111111111,1.2559930666666665,1.8465736689599999,2.0968331012343513,0.0,4.4548081264108355,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
216838CR5,279860,717,103.7925185,1.332247921,Landed Property,555.4176565,8630,36,1635.21527446,113258.152174,424.95,5868984.45,13811.0,216838CR5_2,Chinese,6,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Associate professional & technician,Wholesale and Retail Trade,Refused,28.125,69183.0,717,10.8861,0.0,0.0,2,,10886.1,5.785184571428572,0.24191333333333334,0.7894699388888888,1.49811982679,1.156653972847319,0.0,2.4573589164785554,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
218814CR6,218814,718,103.8530328,1.316200871,Private flat/condo,409.2629464,3444,53,3392.72671944,65144.4043321,120.0,1513720.0,12614.3333333333,218814CR6_1,Others,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,"Legislator,senior official & manager",Wholesale and Retail Trade,$8000 and above,56.25,238877.0,718,4.2304,1.0,0.0,1,0.3333333333333333,4230.4,2.2481554285714282,0.3333333333333333,0.43856664444444443,1.13283171584,0.4494822725065265,0.0,0.9549435665914221,0.0,6666.666666666667,10000.0,0.115,279.16666666666674,8452.5
218815AR1,218815,719,103.8520524,1.31575535,Private flat/condo,420.532079,3401,50,3377.31315082,65144.4043321,97.0,1320719.66666667,13615.6666666667,218815AR1_1,Indian,3,15-34 yrs,Employemnt pass,Male,Employed Full-time,"Legislator,senior official & manager","Professional Services (e.g. legal, accounting, engineering,",Refused,28.125,307987.0,719,2.7534,0.0,0.0,2,0.5,2753.4,1.4632354285714286,0.06118666666666667,0.5,1.03975678844,0.2925502290845949,0.0,0.6215349887133184,0.0,3333.3333333333335,6666.666666666667,0.07,45.83333333333334,4372.5
218816AR1,218816,720,103.8521837,1.315462826,Private flat/condo,386.1255195,3368,52,3412.58892659,65144.4043321,97.0,1207908.66666667,12452.6666666667,218816AR1_1,Indian,4,35-54 yrs,Employemnt pass,Male,Employed Full-time,Professional,"Financial Services (e.g. financial, insurance)",$8000 and above,56.25,69113.0,720,5.9206,0.0,0.0,2,1.0,5920.6,3.1463760000000005,0.1315688888888889,1.0,1.23398849564,0.629066930456255,0.0,1.3364785553047405,0.0,6666.666666666667,10000.0,0.115,279.16666666666674,8452.5
219647CR5,219647,721,103.8467512,1.315088737,Private flat/condo,660.7916124,3423,34,3157.43876784,65144.4043321,97.0,1312539.33333333,13531.3333333333,219647CR5_1,Chinese,2,35-54 yrs,Singapore Citizen,Female,Employed Full-time,"Legislator,senior official & manager",Manufacturing,$8000 and above,56.25,319319.0,721,5.148,1.0,0.0,1,0.35,5148.0,2.7357942857142854,0.35,0.48694455555555555,1.188458096,0.5469777654272878,0.0,1.1620767494356659,0.0,6666.666666666667,10000.0,0.115,279.16666666666674,8452.5
