"home_ID","Home_pcode","homex","homey","X","Y"
188,440030,36663.62215,31841.9696,103.91116523,1.30424076693
189,370045,33871.06071,34287.25005,103.886073247,1.3263556655
190,822604,36223.30858,42860.36999,103.907211828,1.40388729451
191,520418,40711.79181,37815.79556,103.947542351,1.35826442813
192,730760,23907.38569,47607.91788,103.796542355,1.44682327605
193,560641,28780.82827,40068.70754,103.840334896,1.37864166496
194,461045,38147.23697,34537.70627,103.92449707,1.32861957589
195,271002,23819.28445,32420.02764,103.79575283,1.30946944768
196,460417,38813.48535,34422.4276,103.930483631,1.32757680833
197,542204,34803.67586,41021.15851,103.894454826,1.38725450644
198,731628,24386.81632,46297.76246,103.800850685,1.43497477366
199,521151,40294.2901,37056.62591,103.943790519,1.3513989564
200,389757,34243.5272,33243.1585,103.889419848,1.31691320116
201,760343,29193.1622,45634.53618,103.844040249,1.42897700218
202,658882,19885.52072,35915.59294,103.760405153,1.34108129369
203,439460,34485.97714,31181.80932,103.891597954,1.29827104526
204,520420,40711.13847,37771.69289,103.947536462,1.35786558037
205,680017,19165.37281,40129.01456,103.753932954,1.37918573771
206,738097,24822.84845,47241.31573,103.804768742,1.44350797891
207,382003,32396.5932,32954.3944,103.872824168,1.31430204141
208,760141,27636.25675,45825.89969,103.830050005,1.43070764728
209,431009,33527.34584,31687.41398,103.882984319,1.30284373908
210,752339,26234.40392,47712.06914,103.817452928,1.44776542642
211,648317,15151.39117,36137.28461,103.717866134,1.34308454296
212,542306,34154.0659,41272.73621,103.888617637,1.38952982837
213,730110,22241.95532,46588.28927,103.781577013,1.4376018347
214,460117,39704.92781,34760.03496,103.938493847,1.33062967481
215,600268,18175.01349,36002.47785,103.74503521,1.34186653965
216,587973,21278.94912,36655.15283,103.772925767,1.34776995006
217,760703,27503.61791,45702.02062,103.828858123,1.42958732777
218,130018,22419.18702,32258.59856,103.78317231,1.308009319
219,543257,35019.0354,41633.0261,103.896390143,1.392787963
220,760160,28002.50937,46014.69555,103.833341127,1.43241505108
221,78878,29248.68164,28626.44505,103.844538437,1.27516187882
222,681687,18746.00656,42929.29479,103.750163755,1.40451031097
223,642656,13099.20876,35344.79909,103.699426467,1.33591665817
224,750411,26303.85781,48201.91723,103.818077011,1.4521954387
225,650112,18200.86776,36715.83402,103.745267295,1.34831788017
226,670535,20203.55805,40692.16692,103.763261658,1.38427897696
227,650186,18081.54756,36510.73665,103.744195197,1.34646301545
228,460115,39559.9784,34873.80623,103.937191441,1.3316586357
229,650621,18542.87476,36926.85626,103.748340371,1.35022639807
230,410116,36741.21315,33892.53878,103.911863,1.32278535152
231,821613,36304.66096,42928.44686,103.907942866,1.40450293335
232,658880,19911.46259,35967.97946,103.760638242,1.34155506537
233,460014,39448.1066,33735.05413,103.936185786,1.32136022382
234,739636,19768.51123,44220.72828,103.759351435,1.41618987126
235,579948,29498.48973,36895.0003,103.846783453,1.34993976171
236,570206,29612.31511,37530.06643,103.84780628,1.35568306771
237,648480,13036.08806,37025.81722,103.698858461,1.3511191158
238,321103,30178.96821,34404.90171,103.852897802,1.32742015309
239,640558,15117.45177,37362.17579,103.717560645,1.35416198602
240,596288,22308.21829,35364.68528,103.782174629,1.33609963754
241,730335,22130.45821,45719.40736,103.780575284,1.42974396159
242,680289,17700.3108,40148.77465,103.740768298,1.37936396208
243,461042,38293.46659,34465.32756,103.925810998,1.32796496018
244,543259,35208.03705,41699.2312,103.898088487,1.39338665144
245,510472,41794.22718,39574.1242,103.957269542,1.3741656052
246,297900,26295.75522,34601.41777,103.818004995,1.32919740477
247,760794,27876.15334,44639.27914,103.832205706,1.41997628198
248,680681,18236.45411,42764.58656,103.745585062,1.40302058228
249,730635,24547.66396,46466.26417,103.802296033,1.43649866205
