HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis
600272DO,600272,4573,103.7455322,1.342132689,HDB 5-room,888.9637395,13650,4,4424.63088993,58646.4208243,117.53,882571.946666667,7509.33333333333,600272DO_4,Chinese,4,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,49908.0,4573,17.4312
600273AO,600273,4574,103.7453093,1.342659741,HDB 4-room,852.8936951,13699,5,4421.69930039,58646.4208243,94.93,712861.013333333,7509.33333333333,600273AO_1,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,Manufacturing,$2000-$2499,2250.0,619486.0,4574,8.0985
600273BO,600273,4575,103.7453093,1.342659741,HDB 4-room,852.8936951,13699,5,4421.69930039,58646.4208243,94.93,712861.013333333,7509.33333333333,600273BO_1,Chinese,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,768923.0,4575,25.724
600273CO,600273,4576,103.7453093,1.342659741,HDB 4-room,852.8936951,13699,5,4421.69930039,58646.4208243,94.93,712861.013333333,7509.33333333333,600273CO_1,Indian,4,15-34 yrs,Permanent Resident,Male,Employed Full-time,Professional,Information and Communications,$5000-$5999,5500.0,639108.0,4576,16.1225
600273DR1,600273,4577,103.7453093,1.342659741,HDB 4-room,852.8936951,13699,5,4421.69930039,58646.4208243,94.93,712861.013333333,7509.33333333333,600273DR1_3,Others,5,35-54 yrs,Employemnt pass,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,627880.0,4577,15.421899999999999
600279AR1,600279,4578,103.7469004,1.340754383,HDB 5-room,965.6655254,13445,2,4359.68867815,58646.4208243,117.53,882571.946666667,7509.33333333333,600279AR1_2,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,Transport and Storage,$3000-$3999,3500.0,638505.0,4578,14.4405
600279AR7,600279,4579,103.7469004,1.340754383,HDB 5-room,965.6655254,13445,2,4359.68867815,58646.4208243,117.53,882571.946666667,7509.33333333333,600279AR7_2,Chinese,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Production craftsman & related worker,"Professional Services (e.g. legal, accounting, engineering,",Refused,4500.0,139935.0,4579,9.2626
600279BO,600279,4580,103.7469004,1.340754383,HDB 5-room,965.6655254,13445,2,4359.68867815,58646.4208243,117.53,882571.946666667,7509.33333333333,600279BO_1,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Production craftsman & related worker,Construction,$4000-$4999,4500.0,738344.0,4580,18.8139
600279CO,600279,4581,103.7469004,1.340754383,HDB 5-room,965.6655254,13445,2,4359.68867815,58646.4208243,117.53,882571.946666667,7509.33333333333,600279CO_1,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Production craftsman & related worker,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,128477.0,4581,5.9407
600279DO,600279,4582,103.7469004,1.340754383,HDB 5-room,965.6655254,13445,2,4359.68867815,58646.4208243,117.53,882571.946666667,7509.33333333333,600279DO_1,Chinese,4,35-54 yrs,Permanent Resident,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$4000-$4999,4500.0,119260.0,4582,7.8566
600301AO,600301,4583,103.7354995,1.344054718,HDB 3-room,376.4996995,14742,14,5363.89980084,58646.4208243,68.04,382407.48,5620.33333333333,600301AO_4,Chinese,5,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Plant & machine operator & assembler,Manufacturing,$1500-$1999,1750.0,596226.0,4583,4.209899999999999
600301BO,600301,4584,103.7354995,1.344054718,HDB 3-room,376.4996995,14742,14,5363.89980084,58646.4208243,68.04,382407.48,5620.33333333333,600301BO_1,Indian,4,35-54 yrs,Permanent Resident,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",Refused,4500.0,628128.0,4584,8.1073
600301CO,600301,4585,103.7354995,1.344054718,HDB 3-room,376.4996995,14742,14,5363.89980084,58646.4208243,68.04,382407.48,5620.33333333333,600301CO_1,Malay,4,55-74 yrs,Singapore Citizen,Male,Employed Full-time,"Cleaner, labourer & related worker",Manufacturing,$1-$1000,500.0,628128.0,4585,8.1073
600302AO,600302,4586,103.7344995,1.344646251,HDB 3-room,330.4173604,14871,15,5446.10154211,58646.4208243,68.04,382407.48,5620.33333333333,600302AO_1,Indian,4,35-54 yrs,Permanent Resident,Male,Self-employed,Professional,"Professional Services (e.g. legal, accounting, engineering,",$5000-$5999,5500.0,188979.0,4586,18.4679
600302BO,600302,4587,103.7344995,1.344646251,HDB 3-room,330.4173604,14871,15,5446.10154211,58646.4208243,68.04,382407.48,5620.33333333333,600302BO_2,Malay,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",$1001-$1499,1250.0,169608.0,4587,15.3073
600302CR8,600302,4588,103.7344995,1.344646251,HDB 3-room,330.4173604,14871,15,5446.10154211,58646.4208243,68.04,382407.48,5620.33333333333,600302CR8_2,Others,5,35-54 yrs,Permanent Resident,Female,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$3000-$3999,3500.0,119074.0,4588,9.36
600302DR1,600302,4589,103.7344995,1.344646251,HDB 3-room,330.4173604,14871,15,5446.10154211,58646.4208243,68.04,382407.48,5620.33333333333,600302DR1_1,Indian,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,Wholesale and Retail Trade,$1001-$1499,1250.0,588996.0,4589,5.8339
600307AR3,600307,4590,103.734846,1.346513427,HDB 5-room,522.2402144,14929,14,5341.61988937,58646.4208243,117.53,660557.776666667,5620.33333333333,600307AR3_1,Indian,5,35-54 yrs,Permanent Resident,Male,Employed Full-time,"Legislator,senior official & manager","Professional Services (e.g. legal, accounting, engineering,",$8000 and above,9000.0,628277.0,4590,13.1296
600307BR8,600307,4591,103.734846,1.346513427,HDB 5-room,522.2402144,14929,14,5341.61988937,58646.4208243,117.53,660557.776666667,5620.33333333333,600307BR8_1,Chinese,6,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$5000-$5999,5500.0,649370.0,4591,1.4384000000000001
600307CR2,600307,4592,103.734846,1.346513427,HDB 5-room,522.2402144,14929,14,5341.61988937,58646.4208243,117.53,660557.776666667,5620.33333333333,600307CR2_1,Malay,6,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Real Estate Services,$4000-$4999,4500.0,310480.0,4592,15.6534
600307DR5,600307,4593,103.734846,1.346513427,HDB 5-room,522.2402144,14929,14,5341.61988937,58646.4208243,117.53,660557.776666667,5620.33333333333,600307DR5_3,Malay,5,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Financial Services (e.g. financial, insurance)",$3000-$3999,3500.0,49909.0,4593,18.403200000000002
600308AR3,600308,4594,103.7345715,1.347293233,HDB 4-room,586.4546208,14996,15,5343.3829028,58646.4208243,94.93,533538.243333333,5620.33333333333,600308AR3_1,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,"Legislator,senior official & manager","Professional Services (e.g. legal, accounting, engineering,",$6000-$6999,6500.0,659528.0,4594,3.6928
600308BR3,600308,4595,103.7345715,1.347293233,HDB 4-room,586.4546208,14996,15,5343.3829028,58646.4208243,94.93,533538.243333333,5620.33333333333,600308BR3_1,Chinese,4,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,629174.0,4595,7.888
600308CR3,600308,4596,103.7345715,1.347293233,HDB 4-room,586.4546208,14996,15,5343.3829028,58646.4208243,94.93,533538.243333333,5620.33333333333,600308CR3_2,Chinese,3,35-54 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,2750.0,569766.0,4596,19.651799999999998
600309AR3,600309,4597,103.7340266,1.347511832,HDB 5-room,589.0636795,15061,17,5393.81049461,58646.4208243,117.53,660557.776666667,5620.33333333333,600309AR3_1,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,648886.0,4597,4.1819
600309BR4,600309,4598,103.7340266,1.347511832,HDB 5-room,589.0636795,15061,17,5393.81049461,58646.4208243,117.53,660557.776666667,5620.33333333333,600309BR4_3,Chinese,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,629580.0,4598,12.2789
600309CO,600309,4599,103.7340266,1.347511832,HDB 5-room,589.0636795,15061,17,5393.81049461,58646.4208243,117.53,660557.776666667,5620.33333333333,600309CO_1,Chinese,3,55-74 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,629021.0,4599,8.1898
600309DR1,600309,4600,103.7340266,1.347511832,HDB 5-room,589.0636795,15061,17,5393.81049461,58646.4208243,117.53,660557.776666667,5620.33333333333,600309DR1_1,Malay,10,35-54 yrs,Singapore Citizen,Male,Employed Full-time,"Cleaner, labourer & related worker","Administrative and Support Services (e.g. security, cleaning",$1001-$1499,1250.0,679051.0,4600,6.2638
600311AO,600311,4601,103.7325783,1.347653551,HDB 4-room,581.1665907,15211,21,5543.2119634,58646.4208243,94.93,533538.243333333,5620.33333333333,600311AO_3,Indian,4,15-34 yrs,Employemnt pass,Male,Employed Full-time,Professional,Information and Communications,$3000-$3999,3500.0,609917.0,4601,3.3716
600311CO,600311,4602,103.7325783,1.347653551,HDB 4-room,581.1665907,15211,21,5543.2119634,58646.4208243,94.93,533538.243333333,5620.33333333333,600311CO_1,Malay,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,2750.0,38981.0,4602,19.3191
600311DO,600311,4603,103.7325783,1.347653551,HDB 4-room,581.1665907,15211,21,5543.2119634,58646.4208243,94.93,533538.243333333,5620.33333333333,600311DO_1,Chinese,2,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,638453.0,4603,13.0564
600312AR2,600312,4604,103.7322,1.346917837,HDB 5-room,501.2663343,15212,22,5607.43282565,58646.4208243,117.53,660557.776666667,5620.33333333333,600312AR2_3,Chinese,4,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Financial Services (e.g. financial, insurance)",$4000-$4999,4500.0,239922.0,4604,17.9139
600312BO,600312,4605,103.7322,1.346917837,HDB 5-room,501.2663343,15212,22,5607.43282565,58646.4208243,117.53,660557.776666667,5620.33333333333,600312BO_2,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,238164.0,4605,18.5029
600312CR8,600312,4606,103.7322,1.346917837,HDB 5-room,501.2663343,15212,22,5607.43282565,58646.4208243,117.53,660557.776666667,5620.33333333333,600312CR8_3,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,609434.0,4606,3.075
600313AR2,600313,4607,103.7333428,1.34714852,HDB 3-room,532.7794726,15110,22,5478.48228988,58646.4208243,68.04,382407.48,5620.33333333333,600313AR2_1,Indian,3,15-34 yrs,Employemnt pass,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$5000-$5999,5500.0,117610.0,4607,10.3407
600313BR3,600313,4608,103.7333428,1.34714852,HDB 3-room,532.7794726,15110,22,5478.48228988,58646.4208243,68.04,382407.48,5620.33333333333,600313BR3_1,Chinese,3,55-74 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Construction,$3000-$3999,3500.0,436883.0,4608,22.3273
600313DO,600313,4609,103.7333428,1.34714852,HDB 3-room,532.7794726,15110,22,5478.48228988,58646.4208243,68.04,382407.48,5620.33333333333,600313DO_1,Chinese,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,Wholesale and Retail Trade,$2000-$2499,2250.0,596228.0,4609,4.6339
600317AO,600317,4610,103.7309633,1.346547898,HDB 4-room,491.4588438,15317,21,5750.99574671,58646.4208243,94.93,533538.243333333,5620.33333333333,600317AO_1,Chinese,5,35-54 yrs,Permanent Resident,Male,Employed Full-time,"Legislator,senior official & manager","Community, Social and Personal Services (e.g. public adminis",$8000 and above,9000.0,88869.0,4610,17.1343
600318BR4,600318,4611,103.730562,1.347510572,HDB 3-room,606.849296,15404,21,5762.79714776,58646.4208243,68.04,382407.48,5620.33333333333,600318BR4_3,Indian,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,"Administrative and Support Services (e.g. security, cleaning",$1500-$1999,1750.0,648315.0,4611,1.8002
600318CR6,600318,4612,103.730562,1.347510572,HDB 3-room,606.849296,15404,21,5762.79714776,58646.4208243,68.04,382407.48,5620.33333333333,600318CR6_1,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Service & sales worker,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,627867.0,4612,16.6035
600319AR8,600319,4613,103.730428,1.347974644,HDB 4-room,660.0915119,15441,22,5762.9356621,58646.4208243,94.93,533538.243333333,5620.33333333333,600319AR8_2,Chinese,2,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,609917.0,4613,3.4934000000000003
600319BR5,600319,4614,103.730428,1.347974644,HDB 4-room,660.0915119,15441,22,5762.9356621,58646.4208243,94.93,533538.243333333,5620.33333333333,600319BR5_1,Chinese,7,35-54 yrs,Singapore Citizen,Male,Employed Full-time,"Cleaner, labourer & related worker",Transport and Storage,$1500-$1999,1750.0,629102.0,4614,7.9786
600319CR3,600319,4615,103.730428,1.347974644,HDB 4-room,660.0915119,15441,22,5762.9356621,58646.4208243,94.93,533538.243333333,5620.33333333333,600319CR3_1,Chinese,3,55-74 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Construction,$3000-$3999,3500.0,628054.0,4615,7.555
600319DR5,600319,4616,103.730428,1.347974644,HDB 4-room,660.0915119,15441,22,5762.9356621,58646.4208243,94.93,533538.243333333,5620.33333333333,600319DR5_3,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,"Professional Services (e.g. legal, accounting, engineering,",$2000-$2499,2250.0,638383.0,4616,14.0686
