home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis,choice,distance,car_cost,car_time,pt_time,pt_cost,bike_time,bike_cost,walk_time,walk_cost,min_income,max_income,tax_rate,cum_tax,income_after_tax
1218,male,31~40,Bachelor,With Partner and Children,3 ~ 5万元,250.0,私家车,5405350.1,313.8071755,144,5993.945234,84770,11321.3856741,19316.5009529,3593,360,1218,26.0550105688,1,26055.0105688,32.067705315446155,0.8685003522933333,1.3458040613072546,6.0,2.60550105688,0.0,5.8814922277200905,0.0,35000,55000.0,0.3,6090.0,32410.0
1219,male,41~50,Bachelor,Living with Partner,1 ~ 2万元,93.75,私家车,2307716.4,0.0,123,18484.82648,56075,18138.1769256,12388.5022287,973,13,1219,11.2040557152,1,11204.0557152,13.789607034092308,0.37346852384,0.8029769098167521,4.0,1.12040557152,0.0,2.529132215620768,0.0,12000,25000.0,0.2,990.0,13410.0
1220,female,18~30,Bachelor,Living Alone,3 ~ 5万元,250.0,地铁,0.0,1078.193951,99,28467.18214,56075,25730.2509537,14349.4787162,488,0,1220,5.671110989800001,2,5671.1109898,6.979828910523078,0.18903703299333335,0.6007385585288396,3.0,0.5671110989800001,0.0,1.2801604943115126,0.0,35000,55000.0,0.3,6090.0,32410.0
1221,female,18~30,Bachelor,Living with Parents,1 ~ 2万元,93.75,地铁,2279366.1,1055.245667,41,18992.69844,53454,20381.5373151,32183.0971769,901,9,1221,37.9937816243,2,37993.7816243,46.761577383753846,1.2664593874766665,1.7821860413375386,12.0,3.79937816243,0.0,8.576474407291197,0.0,12000,25000.0,0.2,990.0,13410.0
1222,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,地铁,842321.7,893.9340163,25,17713.40346,93478,14209.5976681,2881.10868005,520,48,1222,8.60366644997,2,8603.66644997,10.589127938424616,0.28678888166566663,0.7079283481904868,4.0,0.860366644997,0.0,1.9421368961557561,0.0,12000,25000.0,0.2,990.0,13410.0
1223,male,18~30,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,公交车,637593.0,2475.869822,5,20670.47593,93478,15928.6188219,4938.38412847,86,0,1223,22.3842726771,2,22384.2726771,27.549874064123077,0.74614242257,1.2116324734691335,6.0,2.23842726771,0.0,5.052883222821671,0.0,3000,12000.0,0.1,90.0,7860.0
1224,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,步行,1098929.7,1761.525096,68,17303.70194,93478,13585.0363343,1980.44710613,540,42,1224,0.616156360094,4,616.156360094,0.7583462893464615,0.020538545336466665,0.4159715418887025,3.0,0.061615636009399996,0.0,0.13908721446817157,0.0,12000,25000.0,0.2,990.0,13410.0
1225,male,18~30,Bachelor,Living Alone,1 ~ 2万元,93.75,地铁,0.0,200.2239319,15,21414.47895,93478,17222.4328235,5220.81305618,98,6,1225,5.7164519123,2,5716.4519123,7.035633122830769,0.19054839707666668,0.6023958448144188,3.0,0.57164519123,0.0,1.2903954655304741,0.0,12000,25000.0,0.2,990.0,13410.0
1226,female,18~30,Bachelor,Living Alone,7000元 ~ 1万元,53.125,自行车/电动自行车,1540067.1,1323.878719,26,19019.36822,56075,15869.9822596,4830.78632454,435,36,1226,3.67524444194,3,3675.24444194,4.523377774695384,0.12250814806466666,0.5277863097603103,3.0,0.367524444194,0.0,0.8296262848623025,0.0,3000,12000.0,0.1,90.0,7860.0
1227,female,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,53.125,地铁,151747.2,0.0,146,28129.91265,56075,25208.4144767,13651.5368487,500,0,1227,16.625670475499998,2,16625.6704755,20.462363662153845,0.5541890158499999,1.0011459653303174,5.0,1.6625670475499998,0.0,3.7529730193002253,0.0,3000,12000.0,0.1,90.0,7860.0
1228,female,18~30,Master,Living Alone,2 ~ 3万元,156.25,公交车,1406859.3,907.4213461,43,19277.28596,56075,16234.4726356,5319.24335331,575,32,1228,4.58309328949,2,4583.09328949,5.64073020244923,0.15276977631633332,0.5609696982196754,3.0,0.458309328949,0.0,1.0345583046252822,0.0,12000,25000.0,0.2,990.0,21410.0
1229,male,31~40,Bachelor,Living with Partner,3 ~ 5万元,250.0,公交车,2813718.6,1106.996743,26,19108.23342,56075,16014.0080318,5049.19772968,508,35,1229,4.53818843031,2,4538.18843031,5.585462683458461,0.151272947677,0.5593283507752143,3.0,0.453818843031,0.0,1.0244217675643341,0.0,35000,55000.0,0.3,6090.0,32410.0
1230,female,18~30,Bachelor,Living with Partner,1 ~ 2万元,93.75,地铁,3189978.0,0.0,76,19323.87761,56075,17652.7864815,9216.17109882,951,14,1230,9.04040574103,2,9040.40574103,11.12665321972923,0.3013468580343333,0.7238918971775481,4.0,0.904040574103,0.0,2.0407236435733633,0.0,12000,25000.0,0.2,990.0,13410.0
1231,male,18~30,Bachelor,Living Alone,3 ~ 5万元,250.0,地铁,787756.2,1777.060199,63,30767.51462,56075,27517.3560537,15637.9371115,198,1,1231,17.3152603925,2,17315.2603925,21.311089713846155,0.5771753464166667,1.0263516261131957,5.0,1.73152603925,0.0,3.90863665744921,0.0,35000,55000.0,0.3,6090.0,32410.0
